date,"song, artist",song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_score
10/10/20,"Life Is Good, Future",Life Is Good,Future,0.676,0.609,2.0,-5.831,0.0,0.481,0.0706,0.0,0.152,0.508,142.037,237735.0,2.317817014446228
9/14/19,"7 Rings, Ariana Grande",7 Rings,Ariana Grande,0.778,0.317,1.0,-10.732,0.0,0.334,0.592,0.0,0.0881,0.327,140.048,178627.0,2.317021276595745
5/2/15,"Stay With Me, Sam Smith",Stay With Me,Sam Smith,0.418,0.42,0.0,-6.444,1.0,0.0414,0.588,6.39e-05,0.11,0.184,84.094,172724.0,2.3124504361617766
3/29/14,"Blurred Lines, Robin Thicke",Blurred Lines,Robin Thicke,0.853,0.599,7.0,-4.756,1.0,0.0411,0.00334,7.93e-06,0.0759,0.843,119.993,263827.0,2.308617234468938
4/19/14,"Roar, Katy Perry",Roar,Katy Perry,0.671,0.771,7.0,-4.821,0.0,0.0316,0.00492,7.28e-06,0.354,0.436,90.003,223546.0,2.306967984934087
12/26/20,"All I Want For Christmas Is You, Mariah Carey",All I Want For Christmas Is You,Mariah Carey,0.336,0.627,7.0,-7.463,1.0,0.0384,0.164,0.0,0.0708,0.35,150.273,241107.0,2.304526748971193
4/16/16,"679, Fetty Wap",679,Fetty Wap,0.618,0.717,7.0,-5.738,1.0,0.318,0.00256,0.0,0.625,0.603,190.05,196693.0,2.2792022792022792
9/29/12,"Starships, Nicki Minaj",Starships,Nicki Minaj,0.747,0.716,11.0,-2.457,0.0,0.075,0.135,0.0,0.251,0.751,125.008,210627.0,2.2718676122931445
11/14/15,"Sugar, Maroon 5",Sugar,Maroon 5,0.748,0.788,1.0,-7.055,1.0,0.0334,0.0591,0.0,0.0863,0.884,120.076,235493.0,2.267352185089974
7/18/15,"Blank Space, Taylor Swift",Blank Space,Taylor Swift,0.753,0.678,5.0,-5.421,1.0,0.0644,0.085,1.64e-06,0.13,0.583,96.006,231827.0,2.2657342657342654
7/20/19,"Eastside, benny blanco, Halsey",Eastside,"benny blanco, Halsey",0.632,0.686,6.0,-7.665,0.0,0.243,0.549,0.0,0.2,0.329,89.949,170770.0,2.2646566164154107
4/8/17,"Let Me Love You, DJ Snake",Let Me Love You,DJ Snake,0.649,0.716,8.0,-5.371,1.0,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,205947.0,2.2593360995850627
12/26/20,"Dynamite, BTS",Dynamite,BTS,0.746,0.765,6.0,-4.41,0.0,0.0993,0.0112,0.0,0.0936,0.737,114.044,199054.0,2.2578125
5/9/20,"Roxanne, Arizona Zervas",Roxanne,Arizona Zervas,0.621,0.601,6.0,-5.616,0.0,0.148,0.0522,0.0,0.46,0.457,116.735,163636.0,2.2458471760797343
1/25/20,"Talk, Khalid",Talk,Khalid,0.9,0.4,0.0,-8.575,1.0,0.127,0.0516,0.0,0.0599,0.346,135.984,197573.0,2.2439024390243905
10/15/16,"Work, Rihanna",Work,Rihanna,0.725,0.534,11.0,-6.238,1.0,0.0946,0.0752,0.0,0.0919,0.558,91.974,219320.0,2.242214532871972
6/30/12,"Sexy And I Know It, LMFAO",Sexy And I Know It,LMFAO,0.707,0.861,7.0,-4.225,1.0,0.316,0.1,0.0,0.191,0.795,130.021,199480.0,2.218867924528302
4/23/16,"Hotline Bling, Drake",Hotline Bling,Drake,0.891,0.628,2.0,-7.863,1.0,0.0551,0.00258,0.00019,0.0504,0.552,134.966,267067.0,2.2153846153846155
12/8/18,"In My Feelings, Drake",In My Feelings,Drake,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,217925.0,2.1900452488687785
